technique_id,technique_name,tactic,cwe_ids
T1055.011,Extra Window Memory Injection,"stealth, privilege-escalation",
T1053.005,Scheduled Task,"execution, persistence, privilege-escalation",
T1205.002,Socket Filters,"stealth, persistence, command-and-control",
T1066,Indicator Removal from Tools,stealth,
T1560.001,Archive via Utility,collection,
T1021.005,VNC,lateral-movement,
T1047,Windows Management Instrumentation,execution,
T1687,Exploitation for Defense Impairment,defense-impairment,
T1156,Malicious Shell Modification,persistence,
T1113,Screen Capture,collection,CWE-267
T1027.011,Fileless Storage,stealth,
T1067,Bootkit,persistence,
T1037,Boot or Logon Initialization Scripts,"persistence, privilege-escalation",CWE-284
T1557,Adversary-in-the-Middle,"credential-access, collection",CWE-287;CWE-290;CWE-294;CWE-300;CWE-593
T1033,System Owner/User Discovery,discovery,CWE-200
T1583,Acquire Infrastructure,resource-development,
T1218.011,Rundll32,stealth,
T1613,Container and Resource Discovery,discovery,
T1583.007,Serverless,resource-development,
T1143,Hidden Window,stealth,
T1161,LC_LOAD_DYLIB Addition,persistence,
T1132.001,Standard Encoding,command-and-control,
T1027.009,Embedded Payloads,stealth,CWE-284;CWE-506
T1150,Plist Modification,"stealth, persistence, privilege-escalation",
T1556.003,Pluggable Authentication Modules,"defense-impairment, persistence, credential-access",
T1578.004,Revert Cloud Instance,defense-impairment,
T1148,HISTCONTROL,stealth,
T1592,Gather Victim Host Information,reconnaissance,
T1596.003,Digital Certificates,reconnaissance,
T1056.001,Keylogging,"collection, credential-access",
T1564.012,File/Path Exclusions,stealth,
T1222.002,Linux and Mac Permissions,defense-impairment,
T1110.001,Password Guessing,credential-access,CWE-257;CWE-262;CWE-263;CWE-307;CWE-308;CWE-309;CWE-521;CWE-654
T1216.001,PubPrn,stealth,
T1597.002,Purchase Technical Data,reconnaissance,
T1003,OS Credential Dumping,credential-access,CWE-1239;CWE-1258;CWE-1266;CWE-1272;CWE-1323;CWE-1330;CWE-552
T1129,Shared Modules,execution,
T1602,Data from Configuration Repository,collection,
T1561.002,Disk Structure Wipe,impact,
T1498.001,Direct Network Flood,impact,CWE-404;CWE-770
T1492,Stored Data Manipulation,impact,
T1574.007,Path Interception by PATH Environment Variable,"stealth, execution",CWE-426;CWE-427
T1213.002,Sharepoint,collection,
T1006,Direct Volume Access,stealth,
T1044,File System Permissions Weakness,"persistence, privilege-escalation",
T1588.007,Artificial Intelligence,resource-development,
T1666,Modify Cloud Resource Hierarchy,defense-impairment,
T1564.008,Email Hiding Rules,stealth,
T1491.002,External Defacement,impact,
T1027.013,Encrypted/Encoded File,stealth,
T1171,LLMNR/NBT-NS Poisoning and Relay,credential-access,
T1590.005,IP Addresses,reconnaissance,
T1499.001,OS Exhaustion Flood,impact,
T1014,Rootkit,stealth,CWE-284
T1546.013,PowerShell Profile,"privilege-escalation, persistence",
T1059.007,JavaScript,execution,
T1685.003,Modify or Spoof Tool UI,defense-impairment,
T1590.002,DNS,reconnaissance,
T1501,Systemd Service,persistence,
T1485.001,Lifecycle-Triggered Deletion,impact,
T1514,Elevated Execution with Prompt,privilege-escalation,
T1123,Audio Capture,collection,CWE-267
T1543,Create or Modify System Process,"persistence, privilege-escalation",CWE-284;CWE-522
T1133,External Remote Services,"persistence, initial-access",
T1109,Component Firmware,"stealth, persistence",
T1546.006,LC_LOAD_DYLIB Addition,"privilege-escalation, persistence",
T1539,Steal Web Session Cookie,credential-access,CWE-113;CWE-20;CWE-302;CWE-311;CWE-315;CWE-384;CWE-472;CWE-539;CWE-565;CWE-602;CWE-642
T1053.007,Container Orchestration Job,"execution, persistence, privilege-escalation",
T1568.002,Domain Generation Algorithms,command-and-control,
T1036.007,Double File Extension,stealth,CWE-162
T1548.002,Bypass User Account Control,privilege-escalation,
T1099,Timestomp,stealth,
T1496.003,SMS Pumping,impact,
T1016.001,Internet Connection Discovery,discovery,
T1548.003,Sudo and Sudo Caching,privilege-escalation,
T1685.001,Disable or Modify Windows Event Log,defense-impairment,
T1682,Query Public AI Services,reconnaissance,
T1560.003,Archive via Custom Method,collection,
T1578,Modify Cloud Compute Infrastructure,defense-impairment,
T1584.008,Network Devices,resource-development,
T1583.008,Malvertising,resource-development,
T1069,Permission Groups Discovery,discovery,CWE-200
T1114,Email Collection,collection,
T1003.002,Security Account Manager,credential-access,
T1596.002,WHOIS,reconnaissance,
T1542.001,System Firmware,"stealth, persistence",
T1594,Search Victim-Owned Websites,reconnaissance,
T1069.003,Cloud Groups,discovery,
T1574.011,Services Registry Permissions Weakness,"stealth, execution",CWE-284
T1596.001,DNS/Passive DNS,reconnaissance,
T1499.003,Application Exhaustion Flood,impact,CWE-1325;CWE-404;CWE-770
T1163,Rc.common,persistence,
T1195.001,Compromise Software Dependencies and Development Tools,initial-access,CWE-494;CWE-506;CWE-829
T1588.004,Digital Certificates,resource-development,
T1583.002,DNS Server,resource-development,
T1561,Disk Wipe,impact,
T1071.004,DNS,command-and-control,
T1552.005,Cloud Instance Metadata API,credential-access,
T1555.002,Securityd Memory,credential-access,
T1615,Group Policy Discovery,discovery,
T1542.003,Bootkit,"stealth, persistence",
T1025,Data from Removable Media,collection,
T1116,Code Signing,stealth,
T1218.013,Mavinject,stealth,
T1522,Cloud Instance Metadata API,credential-access,
T1093,Process Hollowing,stealth,
T1074.001,Local Data Staging,collection,
T1036.005,Match Legitimate Resource Name or Location,stealth,CWE-200
T1172,Domain Fronting,command-and-control,
T1587.003,Digital Certificates,resource-development,
T1565.001,Stored Data Manipulation,impact,
